,feature,gender
765,fayyaz punjab,1
766,muneer punjab,1
771,yaqoob punjab,1
773,shaban punjab,1
775,zubair punjab,1
776,raza balochistan,1
777,mir kpk,1
778,sabir kpk,1
779,andleeb kpk,1
783,ismail sindh,1
784,satewan sindh,1
785,shahid kpk,1
787,farida punjab,0
788,mobeen sindh,1
792,farhan punjab,1
800,rahim sindh,1
801,muzamil sindh,1
802,saeed sindh,1
803,mukhtar punjab,1
806,masab punjab,1
808,raza kpk,1
809,ismail punjab,1
816,arshad sindh,1
817,rani sindh,0
818,ajab kpk,1
819,eric punjab,1
821,ramzani sindh,1
823,aziz kpk,1
830,nazair punjab,1
831,amir kpk,1
834,anis kpk,1
840,lal sindh,1
843,zahoor punjab,1
844,atif sindh,1
845,kashif sindh,1
846,asif punjab,1
847,hassan punjab,1
849,khalil punjab,1
850,islahudin kpk,1
852,sobia punjab,0
853,rasool punjab,1
855,zafar sindh,1
858,birbal sindh,1
859,javed kpk,1
861,sohail punjab,1
865,ramsha punjab,0
866,raheem sindh,1
867,ibrahim kpk,1
869,zobia punjab,0
871,jugalkiswar sindh,1
872,suresh sindh,1
873,luqman kpk,1
876,mazhar punjab,1
877,sailo sindh,1
878,mahtab punjab,1
879,rahmuddin balochistan,1
881,asad sindh,1
883,ishtiaq sindh,1
884,salma sindh,0
885,pardeep sindh,1
886,haq punjab,1
887,amal kpk,1
889,shah punjab,1
890,benish punjab,0
893,mehtab sindh,1
895,hassan sindh,1
897,moorji sindh,1
898,dil kpk,1
899,zahida punjab,0
902,owais sindh,1
903,asher sindh,1
904,tejo sindh,1
905,qalandar balochistan,1
908,imtiaz punjab,1
912,haresh sindh,1
913,tariq sindh,1
915,fazal kpk,1
918,maria punjab,0
919,abrar punjab,1
920,muneer sindh,1
921,rajo sindh,1
922,zeeshan kpk,1
928,fahad kpk,1
930,asim punjab,1
933,naseem punjab,1
937,musab punjab,1
938,asif kpk,1
942,adam sindh,1
944,aslam punjab,1
945,khyzer punjab,1
948,waryam sindh,1
950,haris islamabad,1
951,qamar islamabad,1
952,mohammad islamabad,1
953,waseem islamabad,1
955,sheikh punjab,1
958,salma punjab,0
964,mehnaz punjab,0
965,mahnaz punjab,0
967,syed punjab,1
970,naqash punjab,1
972,nazish punjab,0
974,zeeshan punjab,1
975,kulsoom sindh,0
977,fayzan sindh,1
979,ejaz sindh,1
985,joozer sindh,1
988,hussain sindh,1
990,chaman sindh,1
992,waqar sindh,1
993,zaheer sindh,1
995,najeeb sindh,1
997,mahndi punjab,1
998,said kpk,1
1001,hazrat sindh,1
1002,amanulah kpk,1
1003,waqar kpk,1
1006,sayed punjab,1
1007,ghulam sindh,1
1008,asif islamabad,1
1011,shah kpk,1
1012,nouman punjab,1
1015,abuzar kpk,1
1017,farhad sindh,1
1019,tamoor punjab,1
1020,jamal sindh,1
1021,kirshan sindh,1
1022,irshad punjab,1
1027,sardar balochistan,1
1028,nabeel sindh,1
1031,umar punjab,1
1032,dilshad sindh,1
1034,wazeer sindh,1
1035,shujaat sindh,1
1036,zahid sindh,1
1039,usama punjab,1
1040,parvez sindh,1
1042,asim sindh,1
1044,pervez sindh,1
1048,abdul balochistan,1
1052,rozi kpk,1
1053,akber punjab,1
1055,hamza punjab,1
1060,lakhji sindh,1
1061,anwar kpk,1
1062,shaour punjab,1
1064,laeeq kpk,1
1067,ashfaq sindh,1
1071,cheela sindh,1
1077,mir balochistan,1
1080,zubair sindh,1
1082,naresh sindh,1
1083,hakim punjab,1
1084,waqas sindh,1
1085,azra sindh,0
1088,sayed kpk,1
1092,mustafa punjab,1
1093,bhooro sindh,1
1094,sher kpk,1
1095,sahar punjab,0
1099,omer punjab,1
1100,nandlal sindh,1
1101,laeeq punjab,1
1104,anwar punjab,1
1105,shan punjab,1
1106,gulzar punjab,1
1107,shadir sindh,1
1109,dilawar sindh,1
1111,madni punjab,1
1112,aisha sindh,0
1113,nasir punjab,1
1115,gulbaz punjab,1
1116,saghir punjab,1
1117,heman sindh,1
1118,jamil sindh,1
1119,juma kpk,1
1120,tabish punjab,1
1124,rameez punjab,1
1125,sultan punjab,1
1133,naseer sindh,1
1138,shahab kpk,1
1143,jawaid sindh,1
1144,akash punjab,1
1146,gull punjab,1
1147,mufasil sindh,1
1148,gopal balochistan,1
1149,fizza punjab,0
1151,nazia punjab,0
1152,fahim sindh,1
1153,babar kpk,1
1154,rayed kpk,1
1156,niaz punjab,1
1160,farhat sindh,0
1161,luqman punjab,1
1162,sadam punjab,1
1164,faique sindh,1
1165,abdhl punjab,0
1168,muhanmad sindh,1
1172,amanat punjab,1
1173,shamshad punjab,1
1176,sunny sindh,1
1178,bushra punjab,0
1181,moosa sindh,1
1182,naseer kpk,1
1183,wali kpk,1
1185,qasim kpk,1
1187,fozia punjab,0
1192,avinash sindh,1
1197,aymen sindh,1
1200,niamat punjab,1
1201,altaf sindh,1
1202,dalpat sindh,1
1203,nawab kpk,1
1204,zainab punjab,0
1207,zain punjab,1
1211,shamroz kpk,1
1213,danish punjab,1
1215,wahid punjab,1
1216,mateen punjab,1
1220,wajid kpk,1
1221,faizan punjab,1
1222,huzaifa sindh,1
1223,shabbir sindh,1
1224,haya kpk,1
1227,zalemin kpk,1
1231,hashir punjab,1
1236,amber punjab,0
1238,asia punjab,0
1239,ghansham sindh,1
1240,sheheryar kpk,1
1241,asima punjab,0
1246,niaz kpk,1
1247,abad punjab,1
1250,smak punjab,1
1251,iram punjab,0
1253,harish sindh,1
1254,khalid sindh,1
1257,kewal sindh,1
1258,tanadar kpk,1
1261,gulnaz punjab,0
1262,mohit sindh,1
1265,denny sindh,1
1267,nihal kpk,1
1269,noora kpk,1
1270,qurban punjab,1
1272,washdev sindh,1
1277,jaffer sindh,1
1278,younis kpk,1
1279,dad sindh,1
1283,wajid punjab,1
1285,amanur sindh,1
1291,fawad kpk,1
1292,sajid sindh,1
1296,siddiq sindh,1
1297,ishfaq punjab,1
1298,amir punjab,1
1301,ahmed balochistan,1
1308,bilawal sindh,1
1311,gohar kpk,1
1312,niazmeen kpk,1
1314,daniyal sindh,1
1316,govinda sindh,1
1319,yameen punjab,1
1320,aqib sindh,1
1321,amjidali balochistan,1
1323,hayatullah sindh,1
1331,ammad sindh,1
1334,nasira punjab,0
1338,shahzaib sindh,1
1339,lala balochistan,1
1340,ayyaz punjab,1
1344,shahmon sindh,1
1345,f sindh,1
1349,gulistan kpk,1
1351,narain sindh,1
1353,danyal punjab,1
1354,iqbal punjab,1
1356,majid sindh,1
1357,awal kpk,1
1358,mumtaz punjab,0
1360,humayun sindh,1
1361,rashid kpk,1
1364,bhalla punjab,1
1372,habib sindh,1
1373,anas punjab,1
1376,mohammed sindh,1
1381,zohair sindh,1
1382,samand kpk,1
1383,mohd kpk,1
1387,sharafat sindh,1
1388,jaipal sindh,1
1391,anand sindh,1
1392,raziullah kpk,1
1393,muhamamd punjab,1
1394,qaiser punjab,1
1400,rajoo sindh,1
1406,murtaza punjab,1
1407,pervaiz punjab,1
1412,fazal punjab,1
1413,ranjha punjab,1
1414,aijaz sindh,1
1415,hasham punjab,1
1418,malik punjab,1
1422,rohail punjab,1
1423,barkat punjab,1
1428,farrukh sindh,1
1434,arjan sindh,1
1440,dawood islamabad,1
1441,mooaz punjab,1
1442,basharat punjab,1
1443,saif punjab,1
1444,abaid punjab,1
1450,khuram punjab,1
1451,basil punjab,1
1453,fasal sindh,1
1455,hammad sindh,1
1456,juma balochistan,1
1459,imtiaz kpk,1
1460,imdad sindh,1
1461,akber sindh,1
1467,fahim kpk,1
1470,alamin sindh,1
1472,khadeja sindh,0
1473,rizwana sindh,0
1475,falak punjab,1
1476,dwarko sindh,1
1478,jan punjab,1
1482,safder sindh,1
1484,bahroz kpk,1
1485,nousheen kpk,0
1486,zeeshn punjab,1
1487,sajid kpk,1
1488,amin sindh,1
1490,yaseen punjab,1
1492,gulsher sindh,1
1494,azhar kpk,1
1495,tania punjab,0
1499,salah sindh,1
1500,shad kpk,1
1502,mujahid punjab,1
1506,najma sindh,0
1512,ismat punjab,0
1514,riaz sindh,1
1516,zahida sindh,0
1518,abdur kpk,1
1519,raisa kpk,0
1522,shiraz sindh,1
1523,ravala sindh,1
1526,bashir sindh,1
1530,mangal sindh,1
1533,samad punjab,1
1538,aliya punjab,1
1540,gulzar sindh,0
1543,muhammad balochistan,1
1544,ashraf punjab,1
1545,munawer sindh,1
1546,faizan sindh,1
1548,anfal sindh,1
1551,saeed kpk,1
1553,asghar balochistan,1
1554,anum punjab,0
1556,nasir islamabad,1
1558,nizar kpk,1
1559,saadia punjab,0
1564,bashir punjab,1
1569,samra punjab,0
1572,s sindh,1
1573,yasir kpk,1
1577,bilal sindh,1
1578,mukesh sindh,1
1585,moazzam punjab,1
1591,javed sindh,1
1592,vikram sindh,1
1594,sanam punjab,0
1595,furrukh punjab,1
1597,mazhar sindh,1
1599,nisar kpk,1
1600,rana kpk,0
1601,shafqat punjab,1
1602,khizra punjab,0
1605,abu sindh,1
1606,zainul sindh,1
1607,notak sindh,1
1609,tariq islamabad,1
1611,fakhar punjab,1
1613,aun sindh,1
1617,shafique punjab,1
1621,tuseef punjab,1
1624,gulzarahmedmir punjab,1
1627,michiel sindh,1
1630,naeem kpk,1
1633,ahmed sindh,0
